dataset,column,missing_like_count
train,Area,0
train,Perimeter,469
train,MajorAxisLength,0
train,MinorAxisLength,0
train,AspectRation,0
train,Eccentricity,0
train,ConvexArea,0
train,EquivDiameter,0
train,Extent,0
train,Solidity,474
train,roundness,0
train,Compactness,0
train,ShapeFactor1,0
train,ShapeFactor2,0
train,ShapeFactor3,0
train,ShapeFactor4,0
train,Class,0
val,Area,0
val,Perimeter,62
val,MajorAxisLength,0
val,MinorAxisLength,0
val,AspectRation,0
val,Eccentricity,0
val,ConvexArea,0
val,EquivDiameter,0
val,Extent,0
val,Solidity,63
val,roundness,0
val,Compactness,0
val,ShapeFactor1,0
val,ShapeFactor2,0
val,ShapeFactor3,0
val,ShapeFactor4,0
val,Class,0
test,Area,0
test,Perimeter,146
test,MajorAxisLength,0
test,MinorAxisLength,0
test,AspectRation,0
test,Eccentricity,0
test,ConvexArea,0
test,EquivDiameter,0
test,Extent,0
test,Solidity,121
test,roundness,0
test,Compactness,0
test,ShapeFactor1,0
test,ShapeFactor2,0
test,ShapeFactor3,0
test,ShapeFactor4,0
test,Class,0
